Genes;MG-MA-13;MG-MA-14;MG-MA-15;MG-MA-16;MG-MA-17;MG-MA-18;MG-MA-19;MG-MA-20;MG-MA-21;MG-MA-22;MG-MA-23;MG-MA-24;MG-MA-25;MG-MA-26;MG-MA-27;MG-MA-28;MG-MA-29;MG-MA-30
DDX11L1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
WASH7P;44;51;44;50;67;0;70;100;59;61;67;43;59;59;69;106;106;71
MIR6859.1;6;2;5;5;3;0;10;12;3;4;6;4;10;6;7;10;7;6
MIR1302.2HG;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
MIR1302.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FAM138A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OR4G4P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OR4G11P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OR4F5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AL627309.1;0;0;1;0;0;5;0;1;1;0;2;0;1;1;1;0;4;0
AL627309.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CICP27;11;9;10;13;10;27;13;31;15;12;12;3;14;15;22;15;33;19
AL627309.6;166;183;97;79;119;9;276;331;183;137;308;137;262;165;213;185;306;237
AL627309.7;71;69;42;19;49;8;149;191;86;64;134;61;109;79;80;75;135;135
AL627309.2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
AL627309.5;4;2;5;2;4;0;11;23;7;11;12;9;7;14;8;13;15;11
RNU6.1100P;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
AL627309.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FO538757.2;2;3;0;5;3;12;1;3;1;3;5;0;2;1;4;6;2;4
FO538757.1;102;76;53;63;80;23;79;133;79;95;128;64;80;74;101;125;169;115
MIR6859.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AP006222.1;2;6;4;0;2;2;3;5;1;1;2;2;1;3;1;1;2;1
RPL23AP24;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
AL732372.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AL732372.2;52;54;55;21;28;5;111;182;61;96;131;45;77;73;76;62;134;112
WBP1LP7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OR4F29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CICP7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AL732372.3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
RF00026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AL669831.3;0;0;0;2;0;29;1;2;0;0;0;0;2;1;0;0;1;0
AC114498.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MTND1P23;4;9;2;8;8;11;3;6;6;3;6;6;3;2;2;3;9;11
MTND2P28;1479;1404;1120;1922;1643;288;1138;1564;1210;1523;1463;1527;958;1413;1384;1311;1960;1714
MTCO1P12;324;218;203;439;334;67;260;428;274;318;372;416;349;491;395;341;491;415
MIR6723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MTCO2P12;12;13;8;9;17;4;4;10;8;9;10;9;19;19;24;15;25;25
MTATP8P1;0;0;0;1;0;0;0;0;0;1;0;1;2;3;1;4;3;0
MTATP6P1;9275;7752;6102;12196;9805;1690;6978;9574;8093;7995;8269;8281;5196;6890;7688;7325;9485;7946
MTCO3P12;21;15;13;20;19;4;19;11;20;10;17;21;33;44;33;49;39;42
