"gene_symbol","log2FoldChange","padj","direction","contrast"
"LRP4",1.32949909845048,9.35779405523196e-14,"UP","EBOV vs Mock 1 dpi"
"CHD6",1.09498638795799,2.23908399958471e-13,"UP","EBOV vs Mock 1 dpi"
"CALCOCO1",1.38197423387787,2.18075070007293e-10,"UP","EBOV vs Mock 1 dpi"
"PHKA2",1.33728712205094,1.01085198965599e-09,"UP","EBOV vs Mock 1 dpi"
"SH3D21",2.42692142662549,6.91307382574635e-09,"UP","EBOV vs Mock 1 dpi"
"CP",3.31227261914493,1.00530508270703e-07,"UP","EBOV vs Mock 1 dpi"
"NRN1",4.25979713644608,1.28077173890536e-07,"UP","EBOV vs Mock 1 dpi"
"SORL1",1.29069207019969,7.40817785837278e-07,"UP","EBOV vs Mock 1 dpi"
"LINC00482",2.40844578352163,7.40817785837278e-07,"UP","EBOV vs Mock 1 dpi"
"PPFIA4",2.86990357615486,2.06421791658656e-06,"UP","EBOV vs Mock 1 dpi"
"PRRT2",2.03521325732392,2.56176932723193e-06,"UP","EBOV vs Mock 1 dpi"
"BBX",0.882103377452027,2.71097729497226e-06,"NS","EBOV vs Mock 1 dpi"
"IGF2.1",4.73370386882431,3.93736280595937e-06,"UP","EBOV vs Mock 1 dpi"
"C9orf78",-0.631466511253898,4.62434021095114e-06,"NS","EBOV vs Mock 1 dpi"
"NOL3",1.79218689870607,4.65312519557722e-06,"UP","EBOV vs Mock 1 dpi"
"SEC14L2",1.44065693737455,4.65312519557722e-06,"UP","EBOV vs Mock 1 dpi"
"PLEKHA2",1.26718110699374,6.4827350001288e-06,"UP","EBOV vs Mock 1 dpi"
"SRM",-0.98656228770522,1.02716248575101e-05,"NS","EBOV vs Mock 1 dpi"
"APOBEC3F",1.42983845241644,1.27423815415248e-05,"UP","EBOV vs Mock 1 dpi"
"SP6",1.53963227709816,1.47910855698475e-05,"UP","EBOV vs Mock 1 dpi"
"ATP2B4",1.39863325440813,1.73582012034926e-05,"UP","EBOV vs Mock 1 dpi"
"CLMN",1.88845574617116,1.73582012034926e-05,"UP","EBOV vs Mock 1 dpi"
"SRPRB",-0.598255822652505,2.28079483828237e-05,"NS","EBOV vs Mock 1 dpi"
"PIGZ",1.10668504553872,2.41776782207287e-05,"UP","EBOV vs Mock 1 dpi"
"YEATS2",0.713481839964858,3.04607242504882e-05,"NS","EBOV vs Mock 1 dpi"
"FOXO4",0.953667384560225,3.16155074575873e-05,"NS","EBOV vs Mock 1 dpi"
"HAVCR1",1.85095006943801,3.22272432010884e-05,"UP","EBOV vs Mock 1 dpi"
"TMEM92",1.80313655158686,3.27243408615406e-05,"UP","EBOV vs Mock 1 dpi"
"PREX1",1.97538920536533,3.56130520860629e-05,"UP","EBOV vs Mock 1 dpi"
"EBNA1BP2",-0.743939509479119,4.3783335819244e-05,"NS","EBOV vs Mock 1 dpi"
"CCDC183",1.74731692628965,4.45037168093548e-05,"UP","EBOV vs Mock 1 dpi"
"TF",1.2080438693743,4.78132527315021e-05,"UP","EBOV vs Mock 1 dpi"
