"gene_symbol","log2FoldChange","padj","direction","contrast"
"PTGES3P3",-2.66487864357281,6.6441456185309e-14,"DOWN","MARV vs Mock 1 dpi"
"AP001324.1",-2.69810662129066,2.0759095654709e-12,"DOWN","MARV vs Mock 1 dpi"
"LRP4",1.13685134919644,8.12154166144609e-10,"UP","MARV vs Mock 1 dpi"
"CHD6",0.941233951107628,1.35755317693855e-09,"NS","MARV vs Mock 1 dpi"
"PHKA2",1.31083250707604,2.52476710576608e-09,"UP","MARV vs Mock 1 dpi"
"TF",1.572964427417,1.04731190666582e-08,"UP","MARV vs Mock 1 dpi"
"RASEF",1.25270006828177,6.56728052766117e-07,"UP","MARV vs Mock 1 dpi"
"IGF2.1",4.94217087823122,1.3584142102877e-06,"UP","MARV vs Mock 1 dpi"
"SORL1",1.26293238763477,1.9322464700569e-06,"UP","MARV vs Mock 1 dpi"
"HAVCR1",2.06699594664846,2.02366415867582e-06,"UP","MARV vs Mock 1 dpi"
"RPSAP58",-1.38731966583335,5.70950498530791e-06,"DOWN","MARV vs Mock 1 dpi"
"PPIAP22",-1.1659260841139,7.52787109074753e-06,"DOWN","MARV vs Mock 1 dpi"
"SH3D21",2.00180085788246,8.67313995156802e-06,"UP","MARV vs Mock 1 dpi"
"ITGB6",1.04172649362221,1.26597664980737e-05,"UP","MARV vs Mock 1 dpi"
"CP",2.82965214335095,1.84748297460829e-05,"UP","MARV vs Mock 1 dpi"
"AC004656.1",1.11667990087627,1.89853654305971e-05,"UP","MARV vs Mock 1 dpi"
"ARFGEF3",0.879848665245074,2.43039993621271e-05,"NS","MARV vs Mock 1 dpi"
"CALCOCO1",1.0097119122729,3.48560285201231e-05,"UP","MARV vs Mock 1 dpi"
"PLEKHA2",1.18698920268994,4.81067271699376e-05,"UP","MARV vs Mock 1 dpi"
"YEATS2",0.705564619676406,5.1578538530801e-05,"NS","MARV vs Mock 1 dpi"
"MUC17",3.10227492480812,6.31925353212076e-05,"UP","MARV vs Mock 1 dpi"
"NDUFS6",-0.868524550792409,6.74295381817534e-05,"NS","MARV vs Mock 1 dpi"
"NRN1",3.46706385901864,7.6521161034333e-05,"UP","MARV vs Mock 1 dpi"
"SPICE1",0.58434592885188,8.22895781440971e-05,"NS","MARV vs Mock 1 dpi"
"BBX",0.778176250087793,8.27956995377997e-05,"NS","MARV vs Mock 1 dpi"
