"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","contrast"
"GO:0042391","regulation of membrane potential","34/596","276/12737",2.26200662531009e-07,0.00117760064913643,0.00117760064913643,"EBOV vs Mock 3 dpi DOWN"
"GO:0016339","calcium-dependent cell-cell adhesion","10/596","31/12737",8.48255908013948e-07,0.00159203440590614,0.00159203440590614,"EBOV vs Mock 3 dpi DOWN"
"GO:0034329","cell junction assembly","42/596","403/12737",9.1742282322674e-07,0.00159203440590614,0.00159203440590614,"EBOV vs Mock 3 dpi DOWN"
"GO:0007416","synapse assembly","27/596","209/12737",1.59345720473077e-06,0.00181902344658552,0.00181902344658552,"EBOV vs Mock 3 dpi DOWN"
"GO:0007600","sensory perception","31/596","264/12737",2.18185455535896e-06,0.00181902344658552,0.00181902344658552,"EBOV vs Mock 3 dpi DOWN"
"GO:0099537","trans-synaptic signaling","47/596","490/12737",2.18649673093211e-06,0.00181902344658552,0.00181902344658552,"EBOV vs Mock 3 dpi DOWN"
"GO:0007268","chemical synaptic transmission","46/596","481/12737",3.04941514867758e-06,0.00181902344658552,0.00181902344658552,"EBOV vs Mock 3 dpi DOWN"
"GO:0098916","anterograde trans-synaptic signaling","46/596","481/12737",3.04941514867758e-06,0.00181902344658552,0.00181902344658552,"EBOV vs Mock 3 dpi DOWN"
"GO:0030198","extracellular matrix organization","26/596","205/12737",3.5096647160582e-06,0.00181902344658552,0.00181902344658552,"EBOV vs Mock 3 dpi DOWN"
"GO:0043062","extracellular structure organization","26/596","205/12737",3.5096647160582e-06,0.00181902344658552,0.00181902344658552,"EBOV vs Mock 3 dpi DOWN"
"GO:0045229","external encapsulating structure organization","26/596","206/12737",3.84349940692292e-06,0.00181902344658552,0.00181902344658552,"EBOV vs Mock 3 dpi DOWN"
"GO:0060078","regulation of postsynaptic membrane potential","15/596","81/12737",4.37326390788115e-06,0.00189726765870244,0.00189726765870244,"EBOV vs Mock 3 dpi DOWN"
"GO:0003341","cilium movement","20/596","139/12737",7.0513508905873e-06,0.00282379482587673,0.00282379482587673,"EBOV vs Mock 3 dpi DOWN"
"GO:0051965","positive regulation of synapse assembly","10/596","39/12737",8.66023970923666e-06,0.00306407985580219,0.00306407985580219,"EBOV vs Mock 3 dpi DOWN"
"GO:0051606","detection of stimulus","18/596","118/12737",8.82850515501976e-06,0.00306407985580219,0.00306407985580219,"EBOV vs Mock 3 dpi DOWN"
"GO:0050808","synapse organization","41/596","439/12737",1.8686009224208e-05,0.00607996025132666,0.00607996025132666,"EBOV vs Mock 3 dpi DOWN"
"GO:0035082","axoneme assembly","11/596","52/12737",2.24961295154998e-05,0.00688910883868777,0.00688910883868777,"EBOV vs Mock 3 dpi DOWN"
"GO:0042445","hormone metabolic process","21/596","166/12737",3.13395746922403e-05,0.00906410143598906,0.00906410143598906,"EBOV vs Mock 3 dpi DOWN"
"GO:0007156","homophilic cell-cell adhesion","17/596","119/12737",3.73553427404179e-05,0.00972359571533078,0.00972359571533078,"EBOV vs Mock 3 dpi DOWN"
"GO:0007601","visual perception","17/596","119/12737",3.73553427404179e-05,0.00972359571533078,0.00972359571533078,"EBOV vs Mock 3 dpi DOWN"
"GO:0044331","cell-cell adhesion mediated by cadherin","10/596","46/12737",4.12986299328922e-05,0.0102381270205065,0.0102381270205065,"EBOV vs Mock 3 dpi DOWN"
"GO:0050953","sensory perception of light stimulus","17/596","121/12737",4.64194972071744e-05,0.0105702190253279,0.0105702190253279,"EBOV vs Mock 3 dpi DOWN"
"GO:0002526","acute inflammatory response","11/596","56/12737",4.67799973917956e-05,0.0105702190253279,0.0105702190253279,"EBOV vs Mock 3 dpi DOWN"
"GO:0009593","detection of chemical stimulus","9/596","38/12737",4.87294000399289e-05,0.0105702190253279,0.0105702190253279,"EBOV vs Mock 3 dpi DOWN"
"GO:0008210","estrogen metabolic process","8/596","30/12737",5.13786446431356e-05,0.0106990889604866,0.0106990889604866,"EBOV vs Mock 3 dpi DOWN"
"GO:0045472","response to ether","6/596","16/12737",5.47983737914401e-05,0.0109723205368553,0.0109723205368553,"EBOV vs Mock 3 dpi DOWN"
"GO:0050906","detection of stimulus involved in sensory perception","10/596","49/12737",7.33537803069323e-05,0.0141436955658478,0.0141436955658478,"EBOV vs Mock 3 dpi DOWN"
"GO:0051932","synaptic transmission, GABAergic","8/596","32/12737",8.4988931678678e-05,0.0158018706542571,0.0158018706542571,"EBOV vs Mock 3 dpi DOWN"
"GO:1901890","positive regulation of cell junction assembly","12/596","72/12737",0.000115373020043988,0.0207114462878966,0.0207114462878966,"EBOV vs Mock 3 dpi DOWN"
"GO:0015698","inorganic anion transport","15/596","107/12737",0.000131497873616102,0.0228192643348475,0.0228192643348475,"EBOV vs Mock 3 dpi DOWN"
"GO:0051963","regulation of synapse assembly","17/596","133/12737",0.000153773142372275,0.0258239670706472,0.0258239670706472,"EBOV vs Mock 3 dpi DOWN"
"GO:0050804","modulation of chemical synaptic transmission","32/596","344/12737",0.000165406888144428,0.0269096331149967,0.0269096331149967,"EBOV vs Mock 3 dpi DOWN"
"GO:0099177","regulation of trans-synaptic signaling","32/596","346/12737",0.000183940388307123,0.0290179897432389,0.0290179897432389,"EBOV vs Mock 3 dpi DOWN"
"GO:0019722","calcium-mediated signaling","17/596","136/12737",0.00020218969703595,0.0309588106696811,0.0309588106696811,"EBOV vs Mock 3 dpi DOWN"
"GO:0006821","chloride transport","12/596","79/12737",0.000285399768189251,0.0384723789618911,0.0384723789618911,"EBOV vs Mock 3 dpi DOWN"
