"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","contrast"
"GO:0006720","isoprenoid metabolic process","2/9","95/12737",0.00191532236624795,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0008285","negative regulation of cell population proliferation","3/9","438/12737",0.0029059176735746,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0000302","response to reactive oxygen species","2/9","146/12737",0.00445637173671338,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006183","GTP biosynthetic process","1/9","10/12737",0.00704608428962283,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0010642","negative regulation of platelet-derived growth factor receptor signaling pathway","1/9","10/12737",0.00704608428962283,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0061298","retina vasculature development in camera-type eye","1/9","10/12737",0.00704608428962283,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0019373","epoxygenase P450 pathway","1/9","11/12737",0.00774825960520342,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0046051","UTP metabolic process","1/9","11/12737",0.00774825960520342,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:2000402","negative regulation of lymphocyte migration","1/9","11/12737",0.00774825960520342,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006309","apoptotic DNA fragmentation","1/9","12/12737",0.00844999350930142,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0009404","toxin metabolic process","1/9","12/12737",0.00844999350930142,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0033629","negative regulation of cell adhesion mediated by integrin","1/9","12/12737",0.00844999350930142,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0034214","protein hexamerization","1/9","12/12737",0.00844999350930142,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","1/9","13/12737",0.00915128624473693,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006241","CTP biosynthetic process","1/9","13/12737",0.00915128624473693,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0050746","regulation of lipoprotein metabolic process","1/9","13/12737",0.00915128624473693,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0007162","negative regulation of cell adhesion","2/9","214/12737",0.00935850697374248,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0009209","pyrimidine ribonucleoside triphosphate biosynthetic process","1/9","14/12737",0.00985213805421536,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0042308","negative regulation of protein import into nucleus","1/9","14/12737",0.00985213805421536,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0042574","retinal metabolic process","1/9","14/12737",0.00985213805421536,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0030336","negative regulation of cell migration","2/9","222/12737",0.0100434224962368,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0046036","CTP metabolic process","1/9","15/12737",0.0105525491803262,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0071605","monocyte chemotactic protein-1 production","1/9","15/12737",0.0105525491803262,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0071637","regulation of monocyte chemotactic protein-1 production","1/9","15/12737",0.0105525491803262,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:2000146","negative regulation of cell motility","2/9","232/12737",0.0109305095308358,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0040013","negative regulation of locomotion","2/9","238/12737",0.0114791052196995,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006706","steroid catabolic process","1/9","17/12737",0.0119520503522388,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0009148","pyrimidine nucleoside triphosphate biosynthetic process","1/9","17/12737",0.0119520503522388,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0009208","pyrimidine ribonucleoside triphosphate metabolic process","1/9","17/12737",0.0119520503522388,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0032682","negative regulation of chemokine production","1/9","17/12737",0.0119520503522388,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0019216","regulation of lipid metabolic process","2/9","248/12737",0.0124203847124102,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0051895","negative regulation of focal adhesion assembly","1/9","18/12737",0.0126511408826503,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0010640","regulation of platelet-derived growth factor receptor signaling pathway","1/9","19/12737",0.0133497916989133,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0150118","negative regulation of cell-substrate junction organization","1/9","19/12737",0.0133497916989133,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0030262","apoptotic nuclear changes","1/9","20/12737",0.0140480030430488,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0071676","negative regulation of mononuclear cell migration","1/9","20/12737",0.0140480030430488,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0019731","antibacterial humoral response","1/9","21/12737",0.0147457751569601,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006921","cellular component disassembly involved in execution phase of apoptosis","1/9","22/12737",0.0154431082824391,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0009147","pyrimidine nucleoside triphosphate metabolic process","1/9","22/12737",0.0154431082824391,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0042178","xenobiotic catabolic process","1/9","22/12737",0.0154431082824391,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0046039","GTP metabolic process","1/9","22/12737",0.0154431082824391,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0009220","pyrimidine ribonucleotide biosynthetic process","1/9","23/12737",0.0161400026611613,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0030150","protein import into mitochondrial matrix","1/9","23/12737",0.0161400026611613,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006308","DNA catabolic process","1/9","24/12737",0.0168364585346905,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0046823","negative regulation of nucleocytoplasmic transport","1/9","24/12737",0.0168364585346905,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0010574","regulation of vascular endothelial growth factor production","1/9","25/12737",0.0175324761444751,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0010575","positive regulation of vascular endothelial growth factor production","1/9","25/12737",0.0175324761444751,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006631","fatty acid metabolic process","2/9","302/12737",0.0180691115648825,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0010573","vascular endothelial growth factor production","1/9","26/12737",0.018228055731849,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:1900016","negative regulation of cytokine production involved in inflammatory response","1/9","26/12737",0.018228055731849,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT","1/9","27/12737",0.0189231975380335,1,1,"MARV vs Mock 1 dpi DOWN"
