"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","contrast"
"GO:0051607","defense response to virus","29/160","231/12737",4.26072782840211e-21,2.21813490746614e-17,2.21813490746614e-17,"MARV vs Mock 3 dpi UP"
"GO:0009615","response to virus","30/160","304/12737",8.93029327926933e-19,2.32455534059381e-15,2.32455534059381e-15,"MARV vs Mock 3 dpi UP"
"GO:0045071","negative regulation of viral genome replication","14/160","38/12737",1.02028523775228e-17,1.60946212123763e-14,1.60946212123763e-14,"MARV vs Mock 3 dpi UP"
"GO:0048525","negative regulation of viral process","16/160","59/12737",1.23662091528055e-17,1.60946212123763e-14,1.60946212123763e-14,"MARV vs Mock 3 dpi UP"
"GO:0140888","interferon-mediated signaling pathway","16/160","76/12737",1.01715024490358e-15,1.05905683499361e-12,1.05905683499361e-12,"MARV vs Mock 3 dpi UP"
"GO:0060337","type I interferon-mediated signaling pathway","14/160","59/12737",1.11900254956801e-14,9.70921212175176e-12,9.70921212175176e-12,"MARV vs Mock 3 dpi UP"
"GO:0045069","regulation of viral genome replication","14/160","64/12737",3.81551065307064e-14,2.83764977998368e-11,2.83764977998368e-11,"MARV vs Mock 3 dpi UP"
"GO:0034340","response to type I interferon","16/160","99/12737",8.29418779396846e-14,5.39744270692498e-11,5.39744270692498e-11,"MARV vs Mock 3 dpi UP"
"GO:0071357","cellular response to type I interferon","15/160","95/12737",7.32034964644226e-13,4.23441558437538e-10,4.23441558437538e-10,"MARV vs Mock 3 dpi UP"
"GO:0050792","regulation of viral process","16/160","116/12737",1.06203223776119e-12,5.52893982978474e-10,5.52893982978474e-10,"MARV vs Mock 3 dpi UP"
"GO:0019079","viral genome replication","14/160","89/12737",4.64741057182938e-12,2.1994926760858e-09,2.1994926760858e-09,"MARV vs Mock 3 dpi UP"
"GO:1903900","regulation of viral life cycle","14/160","93/12737",8.64970158664443e-12,3.75252887167258e-09,3.75252887167258e-09,"MARV vs Mock 3 dpi UP"
"GO:0002831","regulation of response to biotic stimulus","26/160","422/12737",1.5429968694849e-11,6.17910900195261e-09,6.17910900195261e-09,"MARV vs Mock 3 dpi UP"
"GO:0016032","viral process","21/160","320/12737",5.33581752447405e-10,1.98416185945799e-07,1.98416185945799e-07,"MARV vs Mock 3 dpi UP"
"GO:0019221","cytokine-mediated signaling pathway","21/160","343/12737",1.87826492913666e-09,6.51883148072363e-07,6.51883148072363e-07,"MARV vs Mock 3 dpi UP"
"GO:0140374","antiviral innate immune response","10/160","63/12737",5.32303526261494e-09,1.73198259857333e-06,1.73198259857333e-06,"MARV vs Mock 3 dpi UP"
"GO:0060338","regulation of type I interferon-mediated signaling pathway","8/160","36/12737",1.16784659963177e-08,3.57635846922529e-06,3.57635846922528e-06,"MARV vs Mock 3 dpi UP"
"GO:0045088","regulation of innate immune response","20/160","349/12737",1.4485231130281e-08,4.18945073690239e-06,4.18945073690239e-06,"MARV vs Mock 3 dpi UP"
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","6/160","19/12737",8.47872596814557e-08,2.32317091527189e-05,2.32317091527189e-05,"MARV vs Mock 3 dpi UP"
"GO:0032481","positive regulation of type I interferon production","9/160","69/12737",1.85014198354962e-07,4.81591958317967e-05,4.81591958317967e-05,"MARV vs Mock 3 dpi UP"
"GO:0060759","regulation of response to cytokine stimulus","12/160","143/12737",2.34796541359662e-07,5.82071806818285e-05,5.82071806818285e-05,"MARV vs Mock 3 dpi UP"
"GO:0032728","positive regulation of interferon-beta production","7/160","37/12737",3.24642660403235e-07,7.68222586390564e-05,7.68222586390564e-05,"MARV vs Mock 3 dpi UP"
"GO:0019058","viral life cycle","15/160","241/12737",3.61699785114737e-07,8.186996005684e-05,8.186996005684e-05,"MARV vs Mock 3 dpi UP"
"GO:0001959","regulation of cytokine-mediated signaling pathway","11/160","135/12737",1.02050790332506e-06,0.00022113875049327,0.00022113875049327,"MARV vs Mock 3 dpi UP"
"GO:0050778","positive regulation of immune response","21/160","497/12737",1.06194175227271e-06,0.00022113875049327,0.00022113875049327,"MARV vs Mock 3 dpi UP"
"GO:0031349","positive regulation of defense response","18/160","380/12737",1.33357214973794e-06,0.000267022177366759,0.000267022177366759,"MARV vs Mock 3 dpi UP"
"GO:0001960","negative regulation of cytokine-mediated signaling pathway","8/160","69/12737",2.27158939019184e-06,0.000437996087605138,0.000437996087605138,"MARV vs Mock 3 dpi UP"
"GO:0060761","negative regulation of response to cytokine stimulus","8/160","72/12737",3.1496748424404e-06,0.000546671437120215,0.000546671437120215,"MARV vs Mock 3 dpi UP"
"GO:0032608","interferon-beta production","7/160","51/12737",3.15023878478803e-06,0.000546671437120215,0.000546671437120215,"MARV vs Mock 3 dpi UP"
"GO:0032648","regulation of interferon-beta production","7/160","51/12737",3.15023878478803e-06,0.000546671437120215,0.000546671437120215,"MARV vs Mock 3 dpi UP"
"GO:0045089","positive regulation of innate immune response","15/160","288/12737",3.39216155148298e-06,0.000569664291516786,0.000569664291516786,"MARV vs Mock 3 dpi UP"
"GO:0039530","MDA-5 signaling pathway","4/160","10/12737",4.74882011232837e-06,0.000772573672024422,0.000772573672024422,"MARV vs Mock 3 dpi UP"
"GO:0032103","positive regulation of response to external stimulus","19/160","468/12737",6.43532781795179e-06,0.00101522171576536,0.00101522171576536,"MARV vs Mock 3 dpi UP"
"GO:0002833","positive regulation of response to biotic stimulus","15/160","306/12737",7.08812480762217e-06,0.00108531699260238,0.00108531699260238,"MARV vs Mock 3 dpi UP"
"GO:0071360","cellular response to exogenous dsRNA","4/160","11/12737",7.38944349080488e-06,0.00109912693751801,0.00109912693751801,"MARV vs Mock 3 dpi UP"
"GO:0035456","response to interferon-beta","5/160","23/12737",8.23417718954073e-06,0.00119075351246525,0.00119075351246525,"MARV vs Mock 3 dpi UP"
"GO:0032479","regulation of type I interferon production","9/160","112/12737",1.13257054436459e-05,0.00155162164577949,0.00155162164577949,"MARV vs Mock 3 dpi UP"
"GO:0032606","type I interferon production","9/160","112/12737",1.13257054436459e-05,0.00155162164577949,0.00155162164577949,"MARV vs Mock 3 dpi UP"
"GO:0002230","positive regulation of defense response to virus by host","5/160","25/12737",1.27399921178216e-05,0.0017006256144969,0.0017006256144969,"MARV vs Mock 3 dpi UP"
